,date,stock,1_return,3_return,6_return,12_return,1_return_over_zero,amc,amc_over_mean
5267,194401,ME4 BM3,9.01320000000001,-1.259655476151167,-2.917219028615259,31.46442201484343,1,23.07,0
5268,194401,ME4 BM4,9.806099999999995,1.336379253323794,-3.585928291020324,52.9648981827894,1,25.87,0
5269,194401,ME4 BM5,12.219500000000005,-1.3481290392534873,-10.573043847704433,55.851067087327365,1,23.07,0
5270,194401,BIG LoBM,5.305500000000007,-1.5073068355409225,-3.234363778565097,17.03921499724681,1,220.32,1
5271,194401,ME5 BM2,5.830899999999994,0.16249699595924927,-0.12183558856061483,27.74114465003801,1,243.17,1
5272,194401,ME5 BM3,6.389800000000001,-1.5872150458571488,0.445082743633729,37.46931953353452,1,151.24,1
5273,194401,ME5 BM4,6.22100000000001,-1.618578938217885,-2.8929597632873505,31.54285901479423,1,165.27,1
5274,194401,BIG HiBM,7.838600000000007,-6.7381036117365785,-6.824471435689061,42.6437094633481,1,89.01,1
5275,194402,SMALL LoBM,8.047800000000006,1.2390664070994095,0.28554040181349993,33.86483715712061,1,1.55,0
5276,194402,ME1 BM2,8.042100000000008,7.2491685406694595,3.9342812166194285,32.10295913969008,1,2.39,0
5277,194402,ME1 BM3,5.074299999999998,8.013412058275149,10.979391996768939,50.751986996626755,1,2.57,0
5278,194402,ME1 BM4,3.0882000000000076,5.197006594578846,9.802843995864908,67.96669951943215,1,2.76,0
5279,194402,SMALL HiBM,8.066499999999998,4.558018532333619,7.973813792273621,83.31518479511439,1,1.98,0
5280,194402,ME2 BM1,4.2353000000000085,3.2195982709271043,5.8692586242887534,54.61447553955425,1,7.19,0
5281,194402,ME2 BM2,5.505000000000004,3.734096629487804,6.851656905082537,43.018672757294965,1,6.11,0
5282,194402,ME2 BM3,3.9641999999999955,10.48694376786976,14.58751217179346,47.70202763709533,1,6.51,0
5283,194402,ME2 BM4,5.0508999999999915,11.868371540340172,21.811805966209043,65.48330022534708,1,6.59,0
5284,194402,ME2 BM5,7.670299999999997,3.080520453766633,10.962296692832885,70.43029091747599,1,5.75,0
5285,194402,ME3 BM1,3.9163999999999977,4.2788266001303255,7.287716629061447,29.02021964589878,1,12.2,0
5286,194402,ME3 BM2,3.519199999999989,5.163977683468812,7.921755758173044,23.26720165031828,1,11.72,0
5287,194402,ME3 BM3,3.130999999999995,2.441237934386198,6.396766015587874,35.57422923032352,1,11.99,0
5288,194402,ME3 BM4,3.47869999999999,3.719094180107141,8.7198072849628,43.26218511201893,1,12.23,0
5289,194402,ME3 BM5,5.991799999999992,6.941961695174936,12.333022942550787,66.05342804988821,1,11.89,0
5290,194402,ME4 BM1,2.060700000000004,1.901006146689621,3.0310632172120267,18.056160800816954,1,27.33,0
5291,194402,ME4 BM2,1.5303999999999984,3.5337604786475074,6.955630381808264,28.425412512410176,1,28.17,0
5292,194402,ME4 BM3,2.6766000000000068,2.885563584840023,6.5312586158649655,24.094068332393558,1,23.68,0
5293,194402,ME4 BM4,2.9279999999999973,2.675485932908872,9.082538396688511,40.010573823140774,1,26.58,0
5294,194402,ME4 BM5,5.2678,1.359468394387342,4.985640638768207,46.34021405838198,1,24.12,0
5295,194402,BIG LoBM,0.6632999999999889,0.9077434918430161,3.052601123432175,11.558340357984576,1,221.57,1
5296,194402,ME5 BM2,0.8685000000000054,2.190533599654043,4.351471362276205,22.158490087357976,1,245.11,1
5297,194402,ME5 BM3,2.1308000000000105,1.6074296383286057,4.547514315406653,29.641391678259808,1,154.11,1
5298,194402,ME5 BM4,2.0844000000000085,-0.10972146836171204,3.8073490354045614,24.775126850327723,1,168.48,1
5299,194402,BIG HiBM,9.1275,2.6559855853087955,6.307254493084402,39.250851664080066,1,96.53,1
5300,194403,SMALL LoBM,4.20910000000001,22.692766557938306,11.98549862289784,19.12401339481209,1,1.6,0
5301,194403,ME1 BM2,1.797699999999991,15.400993209288405,10.576979454999623,14.522073657225398,1,2.42,0
5302,194403,ME1 BM3,2.248500000000009,18.97228768298802,14.080990006711968,37.54124268020165,1,2.62,0
5303,194403,ME1 BM4,2.940699999999996,20.46094518103605,14.468974200336548,46.82373981627737,1,2.83,0
5304,194403,SMALL HiBM,4.206299999999996,26.84705906456113,13.487880481785997,50.56257934053994,1,2.06,0
5305,194403,ME2 BM1,2.3803999999999936,14.263295736148308,7.811822523323864,35.880715148051046,1,7.31,0
5306,194403,ME2 BM2,0.23779999999999912,12.849996050901202,7.847308236637929,30.965625030135136,1,6.08,0
5307,194403,ME2 BM3,1.3428999999999913,18.60634194873434,16.71548765442803,39.89405356884339,1,6.57,0
5308,194403,ME2 BM4,-4.721399999999997,11.852523185483932,15.299949591862937,40.15051625369781,0,6.26,0
5309,194403,ME2 BM5,3.871099999999994,25.831312528560524,12.623934820399274,53.52405301313625,1,5.96,0
5310,194403,ME3 BM1,2.803500000000003,15.356735800894427,7.775520543411152,24.709282966899803,1,12.5,0
5311,194403,ME3 BM2,0.927699999999998,13.97245483546019,8.265449809647606,15.860587690250805,1,11.78,0
5312,194403,ME3 BM3,-0.06990000000000052,11.652169583939642,5.963496314127026,23.667260764873866,0,11.92,0
5313,194403,ME3 BM4,0.8569000000000049,13.580248400806628,6.987440056188565,31.26057087957499,1,12.3,0
5314,194403,ME3 BM5,4.9072000000000005,28.70882279188185,17.61807330868197,45.78561548619808,1,12.46,0
5315,194403,ME4 BM1,1.0226000000000068,10.597379901122462,1.6771473741461929,13.686836401976365,1,27.45,0
5316,194403,ME4 BM2,1.3768000000000002,11.253726638680806,6.926835799445019,21.952510726993737,1,28.47,0
5317,194403,ME4 BM3,0.818999999999992,12.847762588678746,7.08485093783604,16.786880959193205,1,23.79,0
5318,194403,ME4 BM4,-1.2295999999999974,11.631513654812032,6.687612642109353,25.74619781405305,0,26.19,0
5319,194403,ME4 BM5,6.023599999999996,25.246737665981755,12.867694206810043,38.968028289243264,1,25.57,0
5320,194403,BIG LoBM,0.09689999999999976,6.106709249148667,1.7205390654957853,7.817048313842312,1,220.57,1
5321,194403,ME5 BM2,-0.10829999999999451,6.634431071700098,2.71104280129284,14.904308497603402,0,244.18,1
5322,194403,ME5 BM3,0.6111999999999895,9.320863937982526,3.4217204845539584,20.434782483303504,1,154.1,1
5323,194403,ME5 BM4,1.4585999999999988,10.016704462663096,4.995367417237029,15.312043971994882,1,169.37,1
5324,194403,BIG HiBM,4.709600000000003,23.223899351653653,10.022674838782763,29.750214923602126,1,100.65,1
5325,194404,SMALL LoBM,8.251600000000003,21.886581775897728,11.760638509353672,6.670414281517889,1,1.73,0
5326,194404,ME1 BM2,11.9394,23.115847041567996,21.83856271315474,28.424302651083067,1,2.7,0
5327,194404,ME1 BM3,5.28900000000001,13.119233045661606,16.86688594098118,24.58505487042375,1,2.73,0
5328,194404,ME1 BM4,5.088800000000004,11.5199347389213,16.526535416361444,33.17633608761079,1,2.96,0
5329,194404,SMALL HiBM,7.632700000000003,21.20744503699097,15.260054403204503,40.700582611500494,1,2.21,0
5330,194404,ME2 BM1,1.6275999999999957,8.453435113213615,3.9246048727753724,21.242297628049588,1,7.39,0
5331,194404,ME2 BM2,2.4394999999999945,8.335805848261547,7.397753555828879,19.938467816053308,1,6.2,0
5332,194404,ME2 BM3,3.727299999999989,9.28743101726759,17.67284520707082,25.91323039368829,1,6.77,0
