,date,mean_1_return,mean_amc
140,193803,4.094447999999999,40.6066
141,193804,-30.125194,29.754399999999997
142,193805,16.999553,34.4726
143,193806,-8.800564,32.7409
144,193807,27.385603000000007,37.686600000000006
145,193808,8.25255,40.90650000000001
146,193809,-9.792156,38.87870000000001
147,193810,-6.118328,37.846399999999996
148,193811,8.758638000000001,41.403400000000005
149,193812,-8.265817,40.284800000000004
150,193901,-1.3397430000000004,42.3996
151,193902,-12.658898,38.934400000000004
152,193903,-0.9474629999999999,40.5968
153,193904,-22.745708999999998,34.13179999999999
154,193905,-4.818846,33.7454
155,193906,2.778534,36.107400000000005
156,193907,-13.484387000000002,32.369600000000005
157,193908,8.815507000000002,36.3496
158,193909,-16.066233,33.03980000000001
159,193910,33.348666,41.909099999999995
160,193911,-7.2985310000000005,41.066500000000005
161,193912,-13.275295000000002,38.196600000000004
162,194001,-2.776630999999999,39.083000000000006
163,194002,-8.429997,37.544500000000006
164,194003,-1.8633449999999996,38.0415
165,194004,-2.739674999999999,38.7402
166,194005,-2.894774,38.6244
167,194006,-31.340182999999996,28.486800000000002
168,194007,1.363153000000001,33.80199999999999
169,194008,0.6034020000000011,34.935
170,194009,-0.8109939999999998,35.5523
171,194010,1.4826490000000008,36.19359999999999
172,194011,2.312911000000001,38.254200000000004
173,194012,-3.2380920000000004,37.127
174,194101,-4.653728,37.0924
175,194102,-5.781448000000001,35.579600000000006
176,194103,-4.716068,34.85810000000001
177,194104,-1.709874999999999,35.1587
178,194105,-8.996120999999999,33.19089999999999
179,194106,-1.1968450000000006,33.5454
180,194107,2.808441,31.083300000000005
181,194108,8.596415000000002,33.630700000000004
182,194109,-4.483508999999999,33.0905
183,194110,-6.287343,32.397400000000005
184,194111,-9.662153000000002,30.933600000000002
185,194112,-7.618033000000001,29.937200000000004
186,194201,-11.992161999999999,27.782300000000006
187,194202,6.033026000000001,28.174000000000007
188,194203,-5.741921000000001,27.108800000000006
189,194204,-9.035333999999999,24.878700000000013
190,194205,-8.223709000000001,23.5204
191,194206,-2.313917,24.583500000000008
192,194207,-1.4930749999999993,25.790300000000002
193,194208,-0.24761999999999992,27.0282
194,194209,-2.7025439999999996,27.6279
195,194210,-0.9403699999999998,28.429500000000004
196,194211,4.633699,31.09
197,194212,-6.148129,30.293799999999997
198,194301,-1.4766599999999988,31.8488
199,194302,9.086572,34.6725
200,194303,6.276133,37.580099999999995
201,194304,5.934845000000001,40.3251
202,194305,-1.5517049999999994,40.8666
203,194306,2.526320000000001,43.3309
204,194307,-4.079527000000001,44.132600000000004
205,194308,-7.418049000000001,41.997299999999996
206,194309,-0.9405480000000004,42.27830000000001
207,194310,2.357539,43.2221
208,194311,-1.4498250000000008,42.735200000000006
209,194312,-9.911115,39.1864
210,194401,8.296138,40.685
211,194402,2.5792119999999996,41.725100000000005
212,194403,-0.2875999999999992,41.9729
213,194404,2.351059,43.0816
214,194405,-4.664862000000001,42.23429999999999
215,194406,4.463806,44.144000000000005
216,194407,8.027069,50.03939999999999
217,194408,-2.2745040000000003,49.38430000000001
218,194409,2.208139000000001,49.748599999999996
219,194410,-0.6926719999999992,49.5863
220,194411,-0.8997710000000013,49.66310000000001
221,194412,1.3804290000000008,50.23009999999999
222,194501,6.042726,52.70800000000001
223,194502,3.4245120000000013,53.923100000000005
224,194503,7.518882000000001,57.406199999999984
225,194504,-6.6107890000000005,54.777699999999996
